"ad_id","ad_platform","ad_type","target_gender","target_age_group","target_interests"
"1","facebook","video","female","35-44","art,technology"
"2","facebook","stories","all","25-34","travel,photography"
"3","instagram","carousel","all","25-34","technology"
"4","facebook","stories","female","25-34","news"
"5","instagram","image","female","25-34","news"
"6","facebook","video","male","25-34","finance,health"
"7","facebook","image","female","18-24","fashion,gaming"
"8","facebook","carousel","all","25-34","technology"
"9","instagram","stories","all","35-44","fitness,lifestyle"
"10","facebook","stories","female","18-24","art"
"11","facebook","carousel","all","35-44","fashion"
"12","facebook","stories","female","35-44","gaming,technology"
"13","facebook","stories","female","all","health,food"
"14","instagram","image","female","35-44","finance,lifestyle"
"15","facebook","stories","all","all","fashion"
"16","facebook","video","female","35-44","food,gaming"
"17","instagram","image","all","35-44","sports,travel"
"18","facebook","video","male","18-24","photography"
"19","facebook","video","female","18-24","gaming"
"20","instagram","image","male","35-44","art,travel"
"21","instagram","video","all","25-34","art"
"22","facebook","stories","male","35-44","finance"
"23","facebook","image","all","18-24","news"
"24","facebook","video","female","all","technology"
"25","facebook","video","male","25-34","travel,technology"
"26","facebook","image","female","all","gaming,health"
"27","instagram","video","female","all","health,fashion"
"28","facebook","image","female","25-34","finance,travel"
"29","instagram","carousel","all","18-24","lifestyle,news"
"30","facebook","carousel","female","25-34","sports"
"31","facebook","image","female","25-34","fashion"
"32","instagram","stories","all","18-24","sports"
"33","instagram","carousel","female","all","photography"
"34","instagram","stories","female","35-44","sports,technology"
"35","instagram","image","female","25-34","travel,finance"
"36","facebook","video","male","18-24","gaming,health"
"37","facebook","carousel","all","35-44","gaming,travel"
"38","facebook","stories","male","25-34","finance,technology"
"39","instagram","stories","all","35-44","lifestyle,gaming"
"40","facebook","stories","all","all","health,finance"
"41","facebook","carousel","all","25-34","photography"
"42","facebook","video","female","25-34","health"
"43","facebook","video","all","all","fitness"
"44","facebook","video","female","18-24","fashion,gaming"
"45","facebook","carousel","female","all","sports,gaming"
"46","instagram","carousel","all","35-44","technology,travel"
"47","instagram","image","female","35-44","fitness,sports"
"48","facebook","carousel","all","all","finance,lifestyle"
"49","facebook","stories","all","25-34","finance"
"50","instagram","stories","female","35-44","news"
"51","instagram","carousel","all","18-24","photography"
"52","instagram","stories","female","35-44","health,lifestyle"
"53","facebook","stories","female","25-34","sports"
"54","instagram","image","female","25-34","technology,travel"
"55","instagram","carousel","male","35-44","gaming"
"56","instagram","stories","female","35-44","news"
"57","instagram","video","female","all","lifestyle"
"58","facebook","image","male","18-24","travel,health"
"59","instagram","stories","male","18-24","lifestyle"
"60","facebook","stories","all","35-44","health"
"61","instagram","carousel","all","35-44","sports,photography"
"62","facebook","image","male","all","fashion,lifestyle"
"63","facebook","video","male","35-44","sports,lifestyle"
"64","facebook","stories","female","18-24","news"
"65","facebook","stories","female","all","finance"
"66","facebook","video","all","all","photography,finance"
"67","facebook","carousel","all","18-24","technology,travel"
"68","facebook","image","all","18-24","sports"
"69","facebook","stories","female","18-24","health"
"70","facebook","stories","female","18-24","travel,technology"
"71","facebook","stories","male","all","art,fashion"
"72","facebook","image","all","35-44","travel"
"73","facebook","stories","female","25-34","fitness"
"74","instagram","image","female","18-24","finance,lifestyle"
"75","facebook","stories","female","18-24","news"
"76","facebook","video","female","18-24","technology,news"
"77","facebook","stories","male","35-44","fashion,photography"
"78","facebook","image","female","18-24","gaming,photography"
"79","instagram","carousel","female","25-34","travel,art"
"80","facebook","stories","male","35-44","lifestyle"
"81","instagram","carousel","all","25-34","fitness,photography"
"82","facebook","stories","female","18-24","food"
"83","facebook","video","all","all","health,art"
"84","facebook","image","female","35-44","health"
"85","facebook","carousel","female","18-24","finance,sports"
"86","facebook","image","female","all","fashion,gaming"
"87","instagram","image","all","18-24","health,fashion"
"88","facebook","image","female","25-34","news,travel"
"89","facebook","carousel","female","25-34","finance"
"90","instagram","stories","male","35-44","fitness,gaming"
"91","facebook","video","all","18-24","travel,gaming"
"92","facebook","carousel","female","35-44","gaming"
"93","instagram","carousel","male","all","fashion"
"94","facebook","video","female","35-44","news"
"95","instagram","image","all","25-34","fashion"
"96","facebook","stories","male","35-44","news"
"97","instagram","image","all","25-34","health,sports"
"98","facebook","stories","female","18-24","sports,finance"
"99","facebook","image","female","35-44","photography,fitness"
"100","instagram","image","female","25-34","art,photography"
"101","facebook","video","all","18-24","art"
"102","facebook","image","all","25-34","food,fashion"
"103","facebook","stories","female","35-44","health,fitness"
"104","facebook","carousel","all","18-24","food"
"105","instagram","image","all","35-44","art"
"106","facebook","stories","female","all","news,fashion"
"107","instagram","carousel","all","25-34","fashion"
"108","facebook","carousel","male","18-24","photography"
"109","facebook","stories","all","35-44","travel,fashion"
"110","instagram","image","male","18-24","fitness,finance"
"111","facebook","stories","female","all","lifestyle"
"112","facebook","video","all","35-44","food"
"113","instagram","image","female","18-24","fitness,finance"
"114","facebook","stories","female","18-24","news,health"
"115","facebook","carousel","female","all","lifestyle,technology"
"116","facebook","video","all","all","lifestyle"
"117","facebook","stories","all","18-24","finance,travel"
"118","facebook","stories","all","all","health,sports"
"119","instagram","carousel","all","35-44","health"
"120","facebook","image","male","all","news"
"121","facebook","video","male","35-44","news"
"122","facebook","stories","all","35-44","health"
"123","facebook","carousel","all","18-24","finance,sports"
"124","instagram","image","female","all","technology,lifestyle"
"125","instagram","carousel","female","18-24","photography"
"126","facebook","carousel","all","25-34","art"
"127","facebook","stories","female","all","gaming,travel"
"128","instagram","carousel","male","18-24","fitness,art"
"129","facebook","carousel","female","35-44","sports"
"130","facebook","image","female","25-34","food"
"131","facebook","image","male","25-34","photography"
"132","facebook","carousel","female","18-24","news"
"133","facebook","video","male","all","technology,health"
"134","facebook","image","female","all","health,gaming"
"135","instagram","stories","male","18-24","sports"
"136","facebook","stories","female","35-44","fashion"
"137","facebook","image","female","all","health"
"138","instagram","stories","all","18-24","food"
"139","facebook","stories","male","18-24","photography"
"140","facebook","image","female","all","photography"
"141","instagram","stories","male","35-44","travel"
"142","facebook","image","all","all","finance,news"
"143","facebook","stories","female","35-44","health,fitness"
"144","instagram","stories","female","18-24","fitness,health"
"145","facebook","carousel","male","25-34","travel"
"146","facebook","video","female","all","gaming"
"147","facebook","carousel","all","35-44","finance"
"148","facebook","carousel","male","all","finance,photography"
"149","facebook","stories","all","18-24","health,fitness"
"150","facebook","carousel","all","all","sports"
"151","facebook","carousel","all","35-44","fashion"
"152","instagram","carousel","male","18-24","gaming,news"
"153","facebook","video","all","18-24","photography"
"154","instagram","stories","female","all","fitness,technology"
"155","facebook","video","all","25-34","food"
"156","instagram","video","female","18-24","fitness,health"
"157","instagram","stories","male","all","news,sports"
"158","instagram","carousel","female","18-24","fashion"
"159","instagram","stories","all","25-34","finance,travel"
"160","instagram","stories","all","25-34","news,art"
"161","facebook","image","female","18-24","art,finance"
"162","instagram","carousel","all","35-44","gaming"
"163","facebook","carousel","female","25-34","photography"
"164","instagram","stories","male","25-34","fashion"
"165","facebook","carousel","male","25-34","gaming"
"166","instagram","image","all","all","fashion"
"167","instagram","carousel","all","25-34","art"
"168","facebook","image","male","all","travel,finance"
"169","facebook","video","female","all","art"
"170","instagram","image","male","35-44","sports"
"171","instagram","stories","male","all","health"
"172","facebook","stories","female","18-24","fitness"
"173","facebook","stories","male","all","gaming,food"
"174","facebook","carousel","female","35-44","travel,finance"
"175","facebook","image","male","25-34","lifestyle,fitness"
"176","instagram","video","all","25-34","technology"
"177","instagram","carousel","female","35-44","travel"
"178","facebook","stories","all","18-24","art"
"179","instagram","stories","all","35-44","art"
"180","instagram","image","male","18-24","finance,sports"
"181","instagram","stories","male","35-44","gaming,art"
"182","instagram","image","female","35-44","fashion,news"
"183","instagram","stories","all","all","gaming"
"184","instagram","image","male","25-34","travel"
"185","instagram","carousel","female","all","sports,food"
"186","facebook","carousel","all","all","fitness"
"187","facebook","image","all","25-34","art"
"188","instagram","image","female","18-24","sports,health"
"189","facebook","image","all","all","fashion,technology"
"190","facebook","image","male","18-24","photography,technology"
"191","facebook","image","all","25-34","lifestyle"
"192","facebook","carousel","female","35-44","fashion"
"193","instagram","carousel","all","25-34","finance"
"194","facebook","image","all","18-24","food,travel"
"195","instagram","carousel","female","35-44","technology,fashion"
"196","facebook","stories","male","35-44","gaming,sports"
"197","facebook","stories","all","all","lifestyle,gaming"
"198","facebook","video","all","35-44","fitness,lifestyle"
"199","instagram","video","male","25-34","art,news"
"200","instagram","carousel","male","18-24","photography"
